epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3796.7,0.5569,0.88273,0.51145,0.92064,0,0.64076,0.79648,0.67855,0.5917,0.65216,0.81142,0.694,0.57724,0.56066,0.90765,0.54841,0.90603,0,9.8938e-05,9.8938e-05,9.8938e-05
39,3897.69,0.54774,0.86754,0.49901,0.91881,0,0.57648,0.76372,0.62567,0.54581,0.58484,0.77875,0.63976,0.53376,0.56473,0.92577,0.59853,0.91198,0,9.1612e-05,9.1612e-05,9.1612e-05
40,3995.84,0.54833,0.86733,0.5046,0.91991,0,0.60037,0.79791,0.66413,0.57663,0.61216,0.81333,0.67826,0.56774,0.56105,0.92692,0.57179,0.90888,0,8.4286e-05,8.4286e-05,8.4286e-05
41,4089.56,0.49185,0.75973,0.42537,0.89252,0,0.56397,0.7666,0.61543,0.5369,0.57042,0.7809,0.62657,0.525,0.55996,0.94365,0.63647,0.90925,0,7.696e-05,7.696e-05,7.696e-05
42,4178.9,0.48031,0.73753,0.40683,0.88758,0,0.60933,0.78828,0.65571,0.57256,0.61725,0.79964,0.6696,0.56151,0.55304,0.93327,0.57378,0.90539,0,6.9634e-05,6.9634e-05,6.9634e-05
43,4268.01,0.47505,0.72531,0.39271,0.88551,0,0.625,0.80073,0.6838,0.59582,0.63519,0.81323,0.6966,0.58494,0.55131,0.92662,0.54042,0.90576,0,6.2308e-05,6.2308e-05,6.2308e-05
44,4356.46,0.46629,0.71728,0.37995,0.87912,0,0.60982,0.82017,0.65534,0.57285,0.6151,0.82885,0.66736,0.56004,0.55209,0.93501,0.54553,0.90705,0,5.4982e-05,5.4982e-05,5.4982e-05
45,4445.38,0.45988,0.71078,0.3737,0.87632,0,0.55844,0.79695,0.66457,0.58343,0.56622,0.8082,0.67537,0.56908,0.55223,0.92831,0.57322,0.90573,0,4.7656e-05,4.7656e-05,4.7656e-05
46,4535.09,0.45478,0.70349,0.36547,0.87313,0,0.57612,0.75866,0.60717,0.53673,0.58258,0.77029,0.61736,0.52091,0.55067,0.94161,0.61862,0.90687,0,4.033e-05,4.033e-05,4.033e-05
47,4624.15,0.45002,0.69787,0.35741,0.87322,0,0.54945,0.78232,0.6368,0.55952,0.55662,0.79555,0.64678,0.54412,0.54494,0.92291,0.57054,0.90303,0,3.3004e-05,3.3004e-05,3.3004e-05
48,4713.67,0.44366,0.69452,0.34825,0.86811,0,0.56521,0.84197,0.61859,0.54019,0.57024,0.85834,0.62905,0.5295,0.54244,0.92659,0.60164,0.90209,0,2.5678e-05,2.5678e-05,2.5678e-05
49,4803.02,0.44087,0.69386,0.35139,0.86682,0,0.60164,0.80516,0.64082,0.5617,0.61074,0.81979,0.65433,0.54757,0.54243,0.9163,0.56169,0.90026,0,1.8352e-05,1.8352e-05,1.8352e-05
50,4892.59,0.43521,0.68399,0.33959,0.86725,0,0.59618,0.79517,0.64391,0.56597,0.60343,0.80297,0.6567,0.55163,0.5437,0.92533,0.56798,0.90248,0,1.1026e-05,1.1026e-05,1.1026e-05
