epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2275.75,1.53977,5.41011,0.02359,0.31906,0.2632,0.19804,0.06635,2.36928,8.3198,0.03541,0.000458,0.000458,0.000458
66,2310.31,1.52665,5.28157,0.02288,0.33241,0.29019,0.20766,0.07159,2.37546,8.42639,0.03518,0.000445625,0.000445625,0.000445625
67,2345.07,1.52455,5.19463,0.02251,0.27385,0.27202,0.18802,0.06578,2.34539,8.31077,0.03464,0.00043325,0.00043325,0.00043325
68,2379.85,1.50343,5.16355,0.02161,0.27996,0.3238,0.20836,0.06623,2.32366,8.00073,0.03451,0.000420875,0.000420875,0.000420875
69,2414.6,1.54112,5.0401,0.02235,0.29111,0.26721,0.18671,0.06381,2.35326,8.36702,0.0343,0.0004085,0.0004085,0.0004085
70,2449.27,1.52788,5.10069,0.02281,0.35309,0.2692,0.19436,0.06473,2.32486,8.32644,0.03433,0.000396125,0.000396125,0.000396125
71,2484,1.52416,5.0142,0.02231,0.29761,0.2469,0.17771,0.06046,2.34741,8.97631,0.03422,0.00038375,0.00038375,0.00038375
72,2518.55,1.51502,4.94728,0.02242,0.27189,0.25615,0.17595,0.06116,2.33607,8.75879,0.0338,0.000371375,0.000371375,0.000371375
73,2553.27,1.49639,4.9178,0.02218,0.2536,0.27314,0.16992,0.05852,2.36812,8.56241,0.03355,0.000359,0.000359,0.000359
74,2587.96,1.49571,4.88302,0.02241,0.3334,0.25541,0.20693,0.07655,2.28533,8.36142,0.03372,0.000346625,0.000346625,0.000346625
75,2622.62,1.47935,4.85557,0.02191,0.22738,0.26277,0.1751,0.06033,2.31777,8.85262,0.03401,0.00033425,0.00033425,0.00033425
76,2657.16,1.49127,4.86035,0.02227,0.23118,0.25419,0.1706,0.05871,2.36872,8.67567,0.03454,0.000321875,0.000321875,0.000321875
77,2691.81,1.4824,4.7511,0.022,0.38765,0.19962,0.18888,0.0617,2.39207,8.68837,0.03462,0.0003095,0.0003095,0.0003095
78,2726.48,1.49548,4.81772,0.02208,0.32046,0.22978,0.19735,0.06703,2.34422,8.81804,0.03387,0.000297125,0.000297125,0.000297125
79,2761.13,1.48705,4.74768,0.02196,0.29377,0.25897,0.19778,0.07187,2.38284,8.58581,0.03489,0.00028475,0.00028475,0.00028475
80,2795.64,1.46629,4.61954,0.02144,0.2801,0.2714,0.19482,0.0666,2.38959,8.87659,0.03442,0.000272375,0.000272375,0.000272375
81,2830.25,1.48118,4.60969,0.02167,0.2594,0.26673,0.17748,0.05591,2.44915,8.72662,0.03577,0.00026,0.00026,0.00026
82,2864.76,1.48164,4.53219,0.02233,0.32008,0.23319,0.17579,0.05883,2.4332,9.10466,0.03503,0.000247625,0.000247625,0.000247625
83,2899.48,1.47831,4.55584,0.02174,0.32566,0.28991,0.19064,0.06294,2.40025,8.80889,0.03491,0.00023525,0.00023525,0.00023525
84,2934.08,1.4695,4.47964,0.02141,0.25242,0.2549,0.1762,0.05561,2.47004,9.09789,0.03612,0.000222875,0.000222875,0.000222875
85,2968.63,1.46878,4.45359,0.02122,0.28135,0.25427,0.17934,0.05824,2.48146,8.82492,0.03566,0.0002105,0.0002105,0.0002105
86,3003.31,1.45901,4.44822,0.02098,0.28634,0.28734,0.20039,0.06714,2.4507,8.72083,0.03547,0.000198125,0.000198125,0.000198125
87,3038.08,1.45197,4.42968,0.02102,0.33792,0.2588,0.20874,0.06499,2.43701,9.15248,0.03483,0.00018575,0.00018575,0.00018575
88,3072.67,1.44491,4.36392,0.02146,0.3712,0.26897,0.21578,0.06491,2.44221,8.92379,0.03524,0.000173375,0.000173375,0.000173375
89,3107.25,1.4356,4.4172,0.02089,0.25348,0.25002,0.16907,0.0536,2.506,9.2515,0.03573,0.000161,0.000161,0.000161
90,3141.74,1.43126,4.38788,0.02107,0.33049,0.27367,0.19064,0.0627,2.46899,8.9318,0.03545,0.000148625,0.000148625,0.000148625
91,3176.77,1.52569,3.97467,0.03061,0.31528,0.24636,0.18863,0.06564,2.42218,9.17601,0.03479,0.00013625,0.00013625,0.00013625
92,3210.98,1.43577,3.45309,0.02684,0.32689,0.26337,0.19883,0.06358,2.48532,8.83015,0.03581,0.000123875,0.000123875,0.000123875
93,3245.07,1.41847,3.30059,0.02703,0.33407,0.2523,0.2068,0.07262,2.44581,8.81567,0.03562,0.0001115,0.0001115,0.0001115
94,3279.26,1.41596,3.19596,0.02663,0.36403,0.25152,0.20908,0.07322,2.47727,8.98154,0.03663,9.9125e-05,9.9125e-05,9.9125e-05
95,3313.47,1.40021,3.18029,0.02664,0.38747,0.22525,0.21001,0.07399,2.50508,8.84385,0.03688,8.675e-05,8.675e-05,8.675e-05
96,3347.6,1.39249,3.14796,0.02659,0.35211,0.25388,0.21312,0.07217,2.48955,8.79017,0.03655,7.4375e-05,7.4375e-05,7.4375e-05
97,3381.95,1.39264,3.20431,0.02673,0.38193,0.24999,0.21267,0.07058,2.51911,8.78805,0.03674,6.2e-05,6.2e-05,6.2e-05
98,3416.2,1.36937,2.96549,0.02613,0.39977,0.26379,0.22391,0.07741,2.4978,8.77814,0.03641,4.9625e-05,4.9625e-05,4.9625e-05
99,3450.54,1.38695,3.11454,0.02625,0.35285,0.27238,0.21825,0.07522,2.49645,8.84174,0.03632,3.725e-05,3.725e-05,3.725e-05
100,3484.78,1.40318,3.00077,0.02598,0.38191,0.26866,0.21743,0.07617,2.46888,8.87547,0.03562,2.4875e-05,2.4875e-05,2.4875e-05
